id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
1185423,2012.0,1,7.0,7.0,1,1,6,2.0,2.0,2.0,466.0,4,5,365,5,5,365,365,5.0,365.0,5,30,60,335,0,0,0,4,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,521.9021479713604
11968356,2016.0,0,1.0,1.0,1,1,5,2.5,3.0,3.0,252.0,1,5,90,5,5,90,90,5.0,90.0,0,0,0,0,7,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,521.9021479713604
22150703,2017.0,1,1.0,1.0,0,1,6,2.0,2.0,4.0,250.0,1,3,1125,3,5,1125,1125,3.1,1125.0,0,11,30,120,25,20,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,521.9021479713604
929381,2012.0,0,5.0,5.0,1,0,6,2.0,3.0,3.0,348.0,1,15,90,15,15,90,90,15.0,90.0,0,16,46,321,7,0,0,4,1,3,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,521.9021479713604
13715056,2016.0,0,1.0,1.0,0,1,4,2.0,1.0,4.0,401.0,1,7,15,7,7,15,15,7.0,15.0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,521.9021479713604
22064977,2017.0,0,1.0,1.0,0,1,3,1.0,1.0,1.0,167.0,2,4,1125,4,4,1125,1125,4.0,1125.0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,521.9021479713604
833541,2012.0,0,49.0,49.0,0,0,7,2.0,3.0,5.0,835.0,1,5,1125,5,5,1125,1125,5.0,1125.0,29,54,84,359,5,2,0,38,38,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,521.9021479713604
22372816,2015.0,0,5.0,5.0,0,0,5,2.5,2.0,3.0,499.0,4,8,190,8,8,190,190,8.0,190.0,26,48,78,353,0,0,0,3,3,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,521.9021479713604
2710508,2013.0,0,3.0,3.0,1,1,8,3.0,3.0,8.0,499.0,1,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,9,0,0,3,3,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,521.9021479713604
14053505,2016.0,0,1.0,1.0,1,0,2,3.0,1.0,1.0,284.0,1,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,521.9021479713604
